App ID,App names,Country,Date,Ad Exchange impressions,Ad Exchange clicks,Ad Exchange CTR,Ad Exchange revenue ($),Ad Exchange average eCPM ($),Ad Exchange ad requests,Ad Exchange match rate,Ad Exchange CPC ($),Ad Exchange delivery rate
com.calendar.schedule.taskapp,Calender,Azerbaijan,3/20/25,1,0,0.00%,0.00,0.44,7,100.00%,0.00,14.29%
com.calendar.schedule.taskapp,Calender,Azerbaijan,3/21/25,1,0,0.00%,0.00,0.83,6,100.00%,0.00,16.67%
com.calendar.schedule.taskapp,Calender,Azerbaijan,3/23/25,6,4,66.67%,0.04,6.30,17,100.00%,0.01,35.29%
com.calendar.schedule.taskapp,Calender,Bangladesh,3/13/25,4,0,0.00%,0.00,0.40,9,100.00%,0.00,44.44%
com.calendar.schedule.taskapp,Calender,Bangladesh,3/14/25,9,1,11.11%,0.23,25.60,12,100.00%,0.23,75.00%
com.calendar.schedule.taskapp,Calender,Bangladesh,3/16/25,3,0,0.00%,0.00,0.55,9,88.89%,0.00,33.33%
com.calendar.schedule.taskapp,Calender,Bangladesh,3/17/25,0,0,0.00%,0.00,0.00,1,100.00%,0.00,0.00%
com.calendar.schedule.taskapp,Calender,Bangladesh,3/19/25,7,1,14.29%,0.04,5.18,13,100.00%,0.04,53.85%
com.calendar.schedule.taskapp,Calender,Bangladesh,3/20/25,2,0,0.00%,0.01,2.83,4,100.00%,0.00,50.00%
com.calendar.schedule.taskapp,Calender,Bangladesh,3/22/25,7,2,28.57%,0.01,1.64,13,100.00%,0.01,53.85%
com.calendar.schedule.taskapp,Calender,Belarus,3/14/25,11,2,18.18%,0.13,11.93,17,100.00%,0.07,64.71%
com.calendar.schedule.taskapp,Calender,Belarus,3/16/25,7,0,0.00%,0.00,0.23,10,90.00%,0.00,70.00%
com.calendar.schedule.taskapp,Calender,Belarus,3/19/25,2,0,0.00%,0.01,6.79,4,100.00%,0.00,50.00%
com.calendar.schedule.taskapp,Calender,Belgium,3/14/25,15,4,26.67%,0.36,24.31,22,100.00%,0.09,68.18%
com.calendar.schedule.taskapp,Calender,Belgium,3/15/25,0,0,0.00%,0.00,0.00,4,100.00%,0.00,0.00%
com.calendar.schedule.taskapp,Calender,Belgium,3/18/25,4,1,25.00%,0.11,27.00,11,100.00%,0.11,36.36%
com.calendar.schedule.taskapp,Calender,Belgium,3/19/25,34,6,17.65%,0.74,21.87,71,100.00%,0.12,47.89%
com.calendar.schedule.taskapp,Calender,Belgium,3/20/25,29,4,13.79%,0.73,25.15,70,100.00%,0.18,41.43%
com.calendar.schedule.taskapp,Calender,Belgium,3/21/25,16,1,6.25%,0.24,15.04,39,100.00%,0.24,41.03%
com.calendar.schedule.taskapp,Calender,Belgium,3/22/25,18,2,11.11%,0.33,18.20,48,100.00%,0.16,37.50%
com.calendar.schedule.taskapp,Calender,Belgium,3/23/25,6,0,0.00%,0.13,20.99,25,100.00%,0.00,24.00%
com.calendar.schedule.taskapp,Calender,Benin,3/18/25,5,4,80.00%,0.02,3.75,13,92.31%,0.00,38.46%
com.calendar.schedule.taskapp,Calender,Benin,3/19/25,1,1,100.00%,0.01,8.57,4,75.00%,0.01,25.00%
com.calendar.schedule.taskapp,Calender,Benin,3/20/25,6,1,16.67%,0.02,3.40,9,100.00%,0.02,66.67%
com.calendar.schedule.taskapp,Calender,Benin,3/21/25,0,0,0.00%,0.00,0.00,1,0.00%,0.00,0.00%
com.calendar.schedule.taskapp,Calender,Benin,3/22/25,1,0,0.00%,0.00,1.11,4,50.00%,0.00,25.00%
com.calendar.schedule.taskapp,Calender,Benin,3/23/25,0,0,0.00%,0.00,0.00,1,0.00%,0.00,0.00%
com.calendar.schedule.taskapp,Calender,Bermuda,3/21/25,0,0,0.00%,0.00,0.00,2,100.00%,0.00,0.00%
com.calendar.schedule.taskapp,Calender,Bolivia,3/15/25,9,0,0.00%,0.01,0.68,14,100.00%,0.00,64.29%
com.calendar.schedule.taskapp,Calender,Bolivia,3/18/25,2,0,0.00%,0.00,1.46,6,100.00%,0.00,33.33%
com.calendar.schedule.taskapp,Calender,Bolivia,3/21/25,18,5,27.78%,0.01,0.59,28,96.43%,0.00,64.29%
com.calendar.schedule.taskapp,Calender,Bolivia,3/22/25,3,0,0.00%,0.00,0.31,6,83.33%,0.00,50.00%
com.calendar.schedule.taskapp,Calender,Bolivia,3/23/25,2,1,50.00%,0.01,2.56,6,83.33%,0.01,33.33%
com.calendar.schedule.taskapp,Calender,Bosnia and Herzegovina,3/14/25,8,3,37.50%,0.05,5.84,12,100.00%,0.02,66.67%
com.calendar.schedule.taskapp,Calender,Bosnia and Herzegovina,3/15/25,11,1,9.09%,0.14,12.29,18,100.00%,0.14,61.11%
com.calendar.schedule.taskapp,Calender,Bosnia and Herzegovina,3/16/25,3,0,0.00%,0.03,9.61,5,100.00%,0.00,60.00%
com.calendar.schedule.taskapp,Calender,Bosnia and Herzegovina,3/17/25,5,0,0.00%,0.05,10.77,7,100.00%,0.00,71.43%
com.calendar.schedule.taskapp,Calender,Bosnia and Herzegovina,3/18/25,9,0,0.00%,0.11,12.78,13,100.00%,0.00,69.23%
com.calendar.schedule.taskapp,Calender,Bosnia and Herzegovina,3/19/25,11,3,27.27%,0.15,13.60,25,100.00%,0.05,44.00%
com.calendar.schedule.taskapp,Calender,Bosnia and Herzegovina,3/20/25,0,0,0.00%,0.00,0.00,1,100.00%,0.00,0.00%
com.calendar.schedule.taskapp,Calender,Bosnia and Herzegovina,3/21/25,3,1,33.33%,0.01,2.39,5,100.00%,0.01,60.00%
com.calendar.schedule.taskapp,Calender,Bosnia and Herzegovina,3/22/25,2,1,50.00%,0.01,2.74,3,100.00%,0.01,66.67%
com.calendar.schedule.taskapp,Calender,Bosnia and Herzegovina,3/23/25,17,7,41.18%,0.07,4.07,29,100.00%,0.01,58.62%
com.calendar.schedule.taskapp,Calender,Brazil,3/14/25,52,19,36.54%,0.92,17.72,73,100.00%,0.05,71.23%
com.calendar.schedule.taskapp,Calender,Brazil,3/15/25,60,10,16.67%,0.79,13.09,93,100.00%,0.08,64.52%
com.calendar.schedule.taskapp,Calender,Brazil,3/16/25,61,13,21.31%,2.12,34.69,94,100.00%,0.16,64.89%
